id,nome
2,Single-player
1,Multi-player
49,PvP
36,Online PvP
47,LAN PvP
9,Co-op
38,Online Co-op
48,LAN Co-op
27,Cross-Platform Multiplayer
22,Steam Achievements
29,Steam Trading Cards
13,Captions available
30,Steam Workshop
23,Steam Cloud
8,Valve Anti-Cheat enabled
17,Includes level editor
16,Includes Source SDK
42,Remote Play on Tablet
62,Family Sharing
28,Full controller support
14,Commentary available
41,Remote Play on Phone
44,Remote Play Together
24,Shared/Split Screen
18,Partial Controller Support
15,Stats
19,Mods
43,Remote Play on TV
63,Steam Timeline
39,Shared/Split Screen Co-op
51,Steam Workshop
25,Steam Leaderboards
37,Shared/Split Screen PvP
20,MMO
52,Tracked Controller Support
53,VR Supported
35,In-App Purchases
21,Downloadable Content
